id_pay,id_order,dim_status,dim_type,m_amount,date_created
1291290,887936,ACCEPTED,BANK_CHECK,37.0,2016-03-24 20:53:07
20098832,13716114,ACCEPTED,BANK_CHECK,800.0,2017-09-23 14:50:08
60962964,45588145,ACCEPTED,CB_SANS_CONTACT,17.0,2018-10-16 19:44:38
177375535,141409706,ACCEPTED,CB_SANS_CONTACT,4.6,2020-09-09 13:41:11
153044226,120851706,ACCEPTED,CB_SANS_CONTACT,21.7,2020-02-28 12:31:19
1573712,1096703,ACCEPTED,BANK_CHECK,49.5,2016-04-22 18:48:45
47764062,35194928,ACCEPTED,AMERICAN_EXPRESS,73.0,2018-07-13 21:23:24
64897167,48774091,ACCEPTED,CB_SANS_CONTACT,13.9,2018-11-13 12:48:17
159847735,126704439,ACCEPTED,VOUCHER,-1.7,2020-06-03 11:05:59
138302311,108800479,ACCEPTED,VOUCHER,-7.1,2019-12-17 16:14:01
128601442,100865710,ACCEPTED,CB_SANS_CONTACT,14.5,2019-10-31 12:42:46
62266727,46631910,ACCEPTED,CB_SANS_CONTACT,13.9,2018-10-25 11:58:00
180156223,143730234,ACCEPTED,CB_SANS_CONTACT,14.5,2020-09-23 11:55:02
181595803,144929032,ACCEPTED,CB_SANS_CONTACT,14.5,2020-10-01 11:25:51
178667452,142477788,ACCEPTED,CB_SANS_CONTACT,36.5,2020-09-15 20:05:34
144510190,113892083,ACCEPTED,VOUCHER,-1.7,2020-01-20 12:37:44
137450201,108077084,ACCEPTED,CB_SANS_CONTACT,13.9,2019-12-13 13:07:32
123943233,97068410,ACCEPTED,CB_SANS_CONTACT,74.0,2019-10-09 21:09:56
24407272,16799056,ACCEPTED,AMERICAN_EXPRESS,39.0,2017-11-25 20:26:39
33539921,23782497,ACCEPTED,CB_SANS_CONTACT,13.9,2018-03-19 12:22:16
149028069,117579280,ACCEPTED,VOUCHER,-1.3,2020-02-10 11:58:15
185438038,148134129,ACCEPTED,BANK_CHECK,60.0,2020-10-23 12:37:39
154428863,121970787,ACCEPTED,CB_SANS_CONTACT,43.0,2020-03-05 20:07:21
134927960,106035360,ACCEPTED,CB_SANS_CONTACT,14.5,2019-11-30 19:54:02
82844431,63348096,ACCEPTED,CB_SANS_CONTACT,11.6,2019-03-13 10:40:04
64782098,48699161,ACCEPTED,TAB,83.0,2018-11-12 13:39:05
122914891,96208339,ACCEPTED,CB_SANS_CONTACT,22.1,2019-10-04 21:22:48
181927601,145210690,ACCEPTED,CB_SANS_CONTACT,27.9,2020-10-02 21:08:11
150982829,119185208,ACCEPTED,VOUCHER,-4.4,2020-02-19 11:30:05
73112269,55445943,ACCEPTED,CB_SANS_CONTACT,17.5,2019-01-11 20:04:14
81592503,62325302,ACCEPTED,CB_SANS_CONTACT,11.7,2019-03-05 18:57:39
106659317,82833965,ACCEPTED,BANK_CHECK,72.0,2019-07-16 11:57:43
139910772,110121386,ACCEPTED,BANK_CHECK,115.0,2019-12-26 14:55:03
151651331,119704186,ACCEPTED,CB_SANS_CONTACT,22.75,2020-02-21 21:32:14
3699518,2682151,ACCEPTED,AMERICAN_EXPRESS,40.0,2016-09-09 19:51:49
180364582,143898595,ACCEPTED,CB_SANS_CONTACT,14.5,2020-09-24 12:20:36
48334928,35641881,ACCEPTED,CB_SANS_CONTACT,16.1,2018-07-18 11:48:06
171657135,136597580,ACCEPTED,VOUCHER,-2.1,2020-08-07 10:33:55
184021648,146950287,ACCEPTED,CB_SANS_CONTACT,21.5,2020-10-14 20:56:03
165520005,131466221,ACCEPTED,VOUCHER,-7.0,2020-07-06 11:17:28
44012084,32204096,ACCEPTED,AMERICAN_EXPRESS,26.5,2018-06-17 20:42:19
68095481,51373914,ACCEPTED,CB_SANS_CONTACT,13.9,2018-12-05 13:01:02
160947332,127645991,ACCEPTED,SIOUPLAIT,15.9,2020-06-11 10:31:21
25561989,17671153,ACCEPTED,CB_SANS_CONTACT,16.7,2017-12-13 13:11:07
115243989,89941509,ACCEPTED,SUMUP,70.0,2019-08-30 20:21:07
98852309,76437642,ACCEPTED,CB_SANS_CONTACT,20.7,2019-06-08 19:07:10
49189082,36319001,ACCEPTED,CB_SANS_CONTACT,71.0,2018-07-24 12:21:52
35672106,25463175,ACCEPTED,BANK_CHECK,86.0,2018-04-07 21:29:40
103220376,80025610,ACCEPTED,SUMUP,17.5,2019-06-29 22:26:21
126005410,98735232,ACCEPTED,CB_SANS_CONTACT,17.7,2019-10-18 22:18:09
148257256,116897175,ACCEPTED,CB_SANS_CONTACT,22.3,2020-02-06 22:07:38
125249589,98149250,ACCEPTED,CB_SANS_CONTACT,21.2,2019-10-15 18:51:42
141585219,111515897,ACCEPTED,VOUCHER,-5.4,2020-01-06 12:14:22
80626907,61548904,ACCEPTED,AMERICAN_EXPRESS,24.5,2019-02-27 21:59:09
155888609,123156908,ACCEPTED,CB_SANS_CONTACT,13.9,2020-03-12 13:04:03
94407839,72794995,ACCEPTED,BANK_CHECK,64.4,2019-05-16 17:44:33
68701828,51862697,ACCEPTED,CB_SANS_CONTACT,15.9,2018-12-08 23:01:29
126711917,99341208,ACCEPTED,CB_SANS_CONTACT,18.2,2019-10-22 16:46:21
181328544,144695566,ACCEPTED,CB_SANS_CONTACT,30.02,2020-09-29 21:53:25
104337780,80917791,ACCEPTED,CB_SANS_CONTACT,12.75,2019-07-05 11:43:08
132506047,104066188,ACCEPTED,CB_SANS_CONTACT,26.0,2019-11-19 19:18:08
103931979,80591848,ACCEPTED,AMERICAN_EXPRESS,32.5,2019-07-03 17:33:55
90397709,69492873,ACCEPTED,CB_SANS_CONTACT,19.9,2019-04-23 19:02:36
143625885,113148648,ACCEPTED,AMERICAN_EXPRESS,102.0,2020-01-16 12:35:14
186164523,148735049,ACCEPTED,CB_SANS_CONTACT,20.6,2020-10-28 13:36:29
32613242,23053722,ACCEPTED,AMERICAN_EXPRESS,100.0,2018-03-10 00:12:45
72230665,54745345,ACCEPTED,CB_SANS_CONTACT,14.2,2019-01-05 15:39:01
95637186,73771284,ACCEPTED,CB_SANS_CONTACT,16.1,2019-05-23 11:25:18
126761665,99381891,ACCEPTED,BANK_CHECK,1000.0,2019-10-22 21:58:41
84886841,65007295,ACCEPTED,AMERICAN_EXPRESS,47.76,2019-03-24 12:33:51
169077988,134437970,ACCEPTED,VOUCHER,-0.2,2020-07-24 11:04:44
148333908,117012232,ACCEPTED,VOUCHER,-1.3,2020-02-07 11:39:26
147882298,116646274,ACCEPTED,VOUCHER,-3.1,2020-02-05 12:26:37
124316340,97369119,ACCEPTED,CB_SANS_CONTACT,20.9,2019-10-11 11:59:24
155637731,122968882,ACCEPTED,CB_SANS_CONTACT,14.5,2020-03-11 12:48:28
87106136,66770438,ACCEPTED,BANK_CHECK,185.1,2019-04-05 16:07:00
125488632,98345742,ACCEPTED,AMERICAN_EXPRESS,37.36,2019-10-16 20:58:33
95667447,73800471,ACCEPTED,CB_SANS_CONTACT,16.2,2019-05-23 12:29:36
58969148,43985409,ACCEPTED,CB_SANS_CONTACT,55.0,2018-10-03 20:27:44
133097461,104520091,ACCEPTED,CB_SANS_CONTACT,13.9,2019-11-22 13:01:20
100013793,77379129,ACCEPTED,AMERICAN_EXPRESS,72.0,2019-06-14 19:13:45
68445112,51632785,ACCEPTED,CB_SANS_CONTACT,14.5,2018-12-07 12:59:10
8069870,5421103,ACCEPTED,AMERICAN_EXPRESS,126.0,2017-02-01 21:56:05
131953036,103608301,ACCEPTED,CB_SANS_CONTACT,14.5,2019-11-16 18:43:33
104461024,81014897,ACCEPTED,CB_SANS_CONTACT,48.0,2019-07-05 19:56:27
155604161,122966663,ACCEPTED,VOUCHER,-6.4,2020-03-11 11:50:49
94351620,72728329,ACCEPTED,CB_SANS_CONTACT,16.7,2019-05-16 12:18:22
39438208,28502955,ACCEPTED,CB_SANS_CONTACT,14.5,2018-05-11 12:04:26
151507026,119584865,ACCEPTED,CB_SANS_CONTACT,16.1,2020-02-21 12:50:51
88475635,67901831,ACCEPTED,CB_SANS_CONTACT,16.8,2019-04-12 20:26:47
151585760,119666851,ACCEPTED,BANK_CHECK,247.0,2020-02-21 17:49:41
163545686,129786781,ACCEPTED,BANK_CHECK,76.0,2020-06-26 10:03:02
160117194,126919782,ACCEPTED,AUTRES,114.44,2020-06-05 11:09:04
6604494,4445610,ACCEPTED,AMERICAN_EXPRESS,324.0,2016-12-15 13:34:22
61956478,46381213,ACCEPTED,CB_SANS_CONTACT,13.9,2018-10-23 11:51:28
180250070,143798181,ACCEPTED,CB_SANS_CONTACT,27.42,2020-09-23 20:33:13
50259587,37167545,ACCEPTED,CB_SANS_CONTACT,13.9,2018-08-01 11:32:54
136975742,107724392,ACCEPTED,VOUCHER,-0.1,2019-12-11 11:51:26
143410734,112996758,ACCEPTED,VOUCHER,-3.5,2020-01-15 12:41:18
179108361,142846837,ACCEPTED,CB_SANS_CONTACT,44.2,2020-09-17 21:13:35
117610504,91850715,ACCEPTED,BANK_TRANSFER,2095.4,2019-09-11 09:23:27
99808280,77197241,ACCEPTED,BANK_TRANSFER,1978.0,2019-06-13 22:47:57
25176213,17384636,ACCEPTED,BANK_CHECK,50.5,2017-12-07 21:10:28
