id_order,id_store,id_waiter,id_device,date_opened,date_closed,dim_status,dim_source,m_nb_customer,m_cached_payed,m_cached_price
96735689,6827,14302.0,13022.0,2019-10-07 19:51:19,2019-10-07 19:57:35,CLOSED,Tiller iPAD,1,74.0,74.0
22852864,2035,2753.0,5949.0,2018-03-07 19:32:17,2018-03-07 20:37:31,CLOSED,Tiller iPAD,1,65.5,65.5
53352184,8291,16823.0,15747.0,2018-12-21 11:48:45,2018-12-21 11:50:24,CLOSED,Tiller iPAD,1,10.9,10.9
5358143,1513,2464.0,424.0,2017-01-29 20:53:56,2017-01-29 21:27:17,CLOSED,Tiller iPAD,2,42.7,42.7
5580718,2035,2752.0,3063.0,2017-02-08 15:50:15,2017-02-08 16:20:35,CLOSED,Tiller iPAD,0,6.9,6.9
6311176,2035,2752.0,3063.0,2017-03-09 12:22:37,2017-03-09 13:23:38,CLOSED,Tiller iPAD,3,47.9,47.9
6877481,2035,2752.0,3063.0,2017-03-28 15:31:01,2017-03-28 16:36:06,CLOSED,Tiller iPAD,0,7.8,7.8
82659133,8291,16823.0,15747.0,2019-07-15 10:46:29,2019-07-15 10:46:36,CLOSED,Tiller iPAD,1,9.9,9.9
99934516,5498,10627.0,10214.0,2019-10-25 18:30:28,2019-10-25 20:05:45,CLOSED,Tiller order,2,81.0,81.0
24165087,2035,2752.0,5949.0,2018-03-23 18:49:08,2018-03-23 18:49:19,CLOSED,Tiller iPAD,0,40.0,40.0
120861581,8291,16823.0,15760.0,2020-02-28 12:10:08,2020-02-28 12:10:17,CLOSED,Tiller order,1,17.5,17.5
54603596,8291,16823.0,15747.0,2019-01-04 12:58:33,2019-01-04 12:59:26,CLOSED,Tiller iPAD,1,8.3,8.3
55104039,8291,16823.0,15747.0,2019-01-09 11:07:48,2019-01-09 11:08:11,CLOSED,Tiller iPAD,1,10.9,10.9
40443585,4364,7225.0,6780.0,2018-09-04 12:04:11,2018-09-04 12:04:35,CLOSED,Tiller iPAD,2,41.0,41.0
41456073,5210,9137.0,9251.0,2018-09-12 18:51:28,2018-09-12 22:18:28,CLOSED,Tiller iPAD,2,59.8,59.8
8990417,2035,2752.0,3063.0,2017-05-31 10:51:09,2017-05-31 11:40:36,CLOSED,Tiller iPAD,2,56.9,56.9
85324628,5210,9270.0,9251.0,2019-07-31 10:47:07,2019-07-31 11:28:35,CLOSED,Tiller iPAD,2,28.0,28.0
85766140,5210,9270.0,9251.0,2019-08-02 17:18:56,2019-08-02 18:56:59,CLOSED,Tiller iPAD,2,27.4,27.4
121192806,360,472.0,129.0,2020-02-29 20:09:31,2020-02-29 22:33:00,CLOSED,Tiller iPAD,4,153.0,153.0
122653439,8291,17650.0,15758.0,2020-03-09 11:43:59,2020-03-09 11:45:22,CLOSED,Tiller order,1,9.9,9.9
10334063,1513,2464.0,424.0,2017-07-03 20:57:08,2017-07-03 20:59:28,CLOSED,Tiller iPAD,2,27.9,27.9
10450488,1513,2464.0,424.0,2017-07-06 11:20:52,2017-07-06 11:39:08,CLOSED,Tiller iPAD,2,24.5,24.5
86236850,6827,14302.0,13022.0,2019-08-05 19:40:41,2019-08-05 20:20:45,CLOSED,Tiller iPAD,1,120.0,120.0
86290378,8291,16823.0,15747.0,2019-08-06 10:54:32,2019-08-06 10:54:59,CLOSED,Tiller iPAD,1,15.2,15.2
87109467,6830,12894.0,13026.0,2019-08-11 14:11:39,2019-08-11 14:12:00,CLOSED,Tiller iPAD,4,63.5,63.5
142390460,8291,16823.0,15760.0,2020-09-15 10:26:16,2020-09-15 10:26:43,CLOSED,Tiller order,1,16.5,16.5
142679807,7872,15756.0,15009.0,2020-09-16 21:19:12,2020-09-16 21:19:16,CLOSED,Tiller order,1,25.0,25.0
143614488,6008,10991.0,11065.0,2020-09-22 15:41:12,2020-09-22 15:41:16,CLOSED,Tiller order,1,22.0,22.0
12945579,351,461.0,128.0,2017-09-06 17:11:45,2017-09-06 19:44:10,CLOSED,Tiller iPAD,2,30.5,30.5
13051458,351,461.0,128.0,2017-09-08 17:57:11,2017-09-08 21:22:22,CLOSED,Tiller iPAD,3,126.5,126.5
13833932,360,472.0,129.0,2017-09-26 11:45:14,2017-09-26 13:13:54,CLOSED,Tiller iPAD,5,98.0,98.0
88931368,5210,9270.0,9251.0,2019-08-24 18:07:10,2019-08-24 20:02:14,CLOSED,Tiller iPAD,2,74.9,74.9
89630305,8291,16823.0,15747.0,2019-08-29 11:21:57,2019-08-29 11:22:32,CLOSED,Tiller iPAD,1,13.3,13.3
71690185,4803,8303.0,8270.0,2019-05-09 10:54:14,2019-05-09 11:52:46,CLOSED,Tiller iPAD,2,29.0,29.0
57954922,1513,2464.0,424.0,2019-02-01 12:34:32,2019-02-01 13:16:06,CLOSED,Tiller iPAD,2,68.0,68.0
58271953,1513,2464.0,424.0,2019-02-03 20:28:29,2019-02-03 21:42:22,CLOSED,Tiller iPAD,2,39.8,39.8
105501554,8291,16823.0,15747.0,2019-11-28 11:08:03,2019-11-28 11:08:15,CLOSED,Tiller iPAD,1,9.81,9.81
106031174,6008,10991.0,11065.0,2019-11-30 18:35:49,2019-11-30 18:35:54,CLOSED,Tiller order,1,30.0,30.0
125676811,6008,10991.0,11065.0,2020-05-21 09:29:49,2020-05-21 09:33:27,CLOSED,Tiller order,1,44.0,44.0
144970505,8291,26319.0,15760.0,2020-10-01 13:05:46,2020-10-01 13:06:16,CLOSED,Tiller order,1,8.8,8.8
145023412,360,472.0,129.0,2020-10-01 18:24:01,2020-10-01 19:17:17,CLOSED,Tiller order,2,44.0,44.0
146509077,6830,25560.0,13026.0,2020-10-11 11:41:38,2020-10-11 13:00:08,CLOSED,Tiller order,3,74.0,74.0
28800142,5498,9665.0,10214.0,2018-05-14 19:17:25,2018-05-14 20:20:04,CLOSED,Tiller iPAD,2,85.5,85.5
78847539,5617,10977.0,10064.0,2019-06-22 20:36:58,2019-06-22 20:46:50,CLOSED,Tiller iPAD,1,29.0,29.0
79631963,4803,8257.0,8270.0,2019-06-27 20:04:54,2019-06-27 21:23:42,CLOSED,Tiller iPAD,1,34.0,34.0
79819159,1513,2464.0,424.0,2019-06-28 19:25:34,2019-06-28 21:44:58,CLOSED,Tiller iPAD,2,52.0,52.0
49093870,5210,9270.0,9251.0,2018-11-15 19:42:54,2018-11-15 22:17:53,CLOSED,Tiller iPAD,3,83.0,83.0
50424187,7304,14172.0,13929.0,2018-11-27 13:44:50,2018-11-27 14:16:07,CLOSED,Tiller iPAD,4,60.7,60.7
34868608,5498,9665.0,10214.0,2018-07-11 13:21:42,2018-07-11 13:22:04,CLOSED,Tiller iPAD,2,45.0,45.0
19713364,1513,2464.0,424.0,2018-01-20 21:34:18,2018-01-20 21:52:43,CLOSED,Tiller iPAD,2,43.5,43.5
20904441,4803,8257.0,8270.0,2018-02-08 13:32:06,2018-02-08 14:13:53,IN_PROGRESS,Tiller iPAD,2,33.0,31.0
21447877,4364,7225.0,6780.0,2018-02-15 21:53:29,2018-02-15 23:00:38,CLOSED,Tiller iPAD,2,95.0,95.0
21517434,2035,2753.0,5949.0,2018-02-16 18:14:12,2018-02-16 19:42:54,CLOSED,Tiller iPAD,0,31.0,31.0
95391441,7304,22355.0,13929.0,2019-09-30 11:22:45,2019-09-30 12:20:26,CLOSED,Tiller iPAD,2,44.7,44.7
96013806,5860,10411.0,10625.0,2019-10-03 20:23:07,2019-10-03 20:23:55,CLOSED,Tiller iPAD,2,60.0,60.0
96305027,7786,15509.0,14854.0,2019-10-05 10:33:39,2019-10-05 10:34:55,CLOSED,Tiller order,1,18.2,18.2
64118864,8291,16823.0,15747.0,2019-03-18 13:12:06,2019-03-18 13:12:37,CLOSED,Tiller iPAD,1,9.8,9.8
64289665,6827,17052.0,13022.0,2019-03-19 19:42:50,2019-03-19 19:50:27,CLOSED,Tiller iPAD,1,9.8,9.8
50860393,2035,2753.0,5949.0,2018-11-30 20:50:09,2018-11-30 22:41:30,CLOSED,Tiller iPAD,0,29.0,29.0
133262666,4196,13318.0,6153.0,2020-07-17 11:10:46,2020-07-17 11:54:13,CLOSED,Tiller order,4,218.0,218.0
